Mol_ID,Hybridization,Experimental_1JCH,Avg_NWChemPrediction,Observed - Predicted,Avg_NWChemPrediction_Fit,Observed - Predicted_fit
152_NWChem_1JCH_mulliken,SP2,169.8,170.3948,-0.5948,170.1744598,-0.37445978
182_NWChem_1JCH_mulliken,SP2,168.8,169.3833,-0.5833,169.2082011,-0.408201141
163_NWChem_1JCH_mulliken,SP2,209.1,209.6785,-0.5785,207.7011177,1.398882269
78_NWChem_1JCH_mulliken,SP2,154,154.449,-0.449,154.9418676,-0.941867577
121_NWChem_1JCH_mulliken,SP2,191.2,191.6148,-0.4148,190.4453528,0.75464716
116_NWChem_1JCH_mulliken,SP2,200.2,200.6042,-0.4042,199.0326839,1.167316053
132_NWChem_1JCH_mulliken,SP2,156,156.3785,-0.3785,156.7850668,-0.785066831
170_NWChem_1JCH_mulliken,SP2,159,159.3313,-0.3313,159.6057969,-0.605796945
107_NWChem_1JCH_mulliken,SP2,162.3,162.6158,-0.3158,162.7433911,-0.443391113
152_NWChem_1JCH_mulliken,SP2,169.8,170.0705,-0.2705,169.8646647,-0.064664747
172_NWChem_1JCH_mulliken,SP2,158.8,159.0685,-0.2685,159.3547512,-0.5547512
177_NWChem_1JCH_mulliken,SP2,158.4,158.6519,-0.2519,158.9567845,-0.556784469
171_NWChem_1JCH_mulliken,SP2,156.1,156.31265,-0.21265,156.7221621,-0.622162103
107_NWChem_1JCH_mulliken,SP2,156.6,156.7962,-0.1962,157.1840844,-0.584084363
158_NWChem_1JCH_mulliken,SP2,194.3,194.471,-0.171,193.1738036,1.126196417
126_NWChem_1JCH_mulliken,SP2,158.4,158.5490333,-0.1490333,158.8585187,-0.458518688
106_NWChem_1JCH_mulliken,SP2,156.1,156.2278,-0.1278,156.6411072,-0.541107189
106_NWChem_1JCH_mulliken,SP2,156.1,156.227,-0.127,156.640343,-0.540342971
106_NWChem_1JCH_mulliken,SP2,156.1,156.225,-0.125,156.6384324,-0.538432425
106_NWChem_1JCH_mulliken,SP2,156.1,156.223,-0.123,156.6365219,-0.536521879
169_NWChem_1JCH_mulliken,SP2,160,160.05635,-0.05635,160.2984176,-0.298417634
172_NWChem_1JCH_mulliken,SP2,157.6,157.6312,-0.0312,157.9817373,-0.381737318
172_NWChem_1JCH_mulliken,SP2,155.9,155.9207,-0.0207,156.3477429,-0.447742851
96_NWChem_1JCH_mulliken,SP2,159.4,159.40805,-0.00805,159.6791141,-0.279114148
208_NWChem_1JCH_mulliken,SP2,191.2,191.1749,0.0251,190.0251282,1.174871752
170_NWChem_1JCH_mulliken,SP2,161,160.9666,0.0334,161.1679549,-0.167954882
168_NWChem_1JCH_mulliken,SP2,160,159.9661,0.0339,160.2122042,-0.212204245
175_NWChem_1JCH_mulliken,SP2,156.9,156.8602,0.0398,157.2452218,-0.345221835
166_NWChem_1JCH_mulliken,SP2,172.4,172.3403,0.0597,172.0329434,0.367056598
168_NWChem_1JCH_mulliken,SP2,164,163.94015,0.05985,164.0085069,-0.008506911
124_NWChem_1JCH_mulliken,SP2,226.2,226.1387,0.0613,223.4251024,2.774897635
171_NWChem_1JCH_mulliken,SP2,158.1,158.033,0.067,158.365566,-0.265566009
173_NWChem_1JCH_mulliken,SP2,165.3,165.2222,0.0778,165.2332147,0.066785339
146_NWChem_1JCH_mulliken,SP2,178,177.9209,0.0791,177.3639399,0.636060094
209_NWChem_1JCH_mulliken,SP2,226.2,226.0862,0.1138,223.3749505,2.825049467
144_NWChem_1JCH_mulliken,SP2,178,177.8806,0.1194,177.3254424,0.674557596
146_NWChem_1JCH_mulliken,SP2,161,160.8802,0.1198,161.0854193,-0.085419295
181_NWChem_1JCH_mulliken,SP2,161.4,161.2565,0.1435,161.4448885,-0.044888524
77_NWChem_1JCH_mulliken,SP2,152.7,152.5333,0.1667,153.1118511,-0.411851091
171_NWChem_1JCH_mulliken,SP2,157.7,157.52615,0.17385,157.8813859,-0.181385889
130_NWChem_1JCH_mulliken,SP2,171,170.8145,0.1855,170.5753879,0.424612142
137_NWChem_1JCH_mulliken,SP2,157.5,157.3064,0.1936,157.6714646,-0.171464647
60_NWChem_1JCH_mulliken,SP2,153.5,153.2648,0.2352,153.8106333,-0.31063329
152_NWChem_1JCH_mulliken,SP2,173.9,173.6603,0.2397,173.2939038,0.606096238
147_NWChem_1JCH_mulliken,SP2,182.5,182.2568,0.2432,181.5059081,0.994091894
79_NWChem_1JCH_mulliken,SP2,150.1,149.8467,0.2533,150.5454146,-0.445414649
162_NWChem_1JCH_mulliken,SP2,173.3,173.0369,0.2631,172.6983866,0.601613426
150_NWChem_1JCH_mulliken,SP2,207.5,207.202,0.298,205.3353841,2.164615854
166_NWChem_1JCH_mulliken,SP2,165.3,164.9567,0.3433,164.9795897,0.320410321
180_NWChem_1JCH_mulliken,SP2,161.4,161.0557,0.3443,161.2530697,0.146930294
131_NWChem_1JCH_mulliken,SP2,155.7,155.3239,0.3761,155.7776359,-0.077635925
131_NWChem_1JCH_mulliken,SP2,155.7,155.3237,0.3763,155.7774449,-0.07744487
128_NWChem_1JCH_mulliken,SP2,159.3,158.921275,0.378725,159.2141111,0.085888867
128_NWChem_1JCH_mulliken,SP2,159.7,159.301,0.399,159.5768522,0.123147827
152_NWChem_1JCH_mulliken,SP2,165.1,164.6988,0.4012,164.7332248,0.366775228
97_NWChem_1JCH_mulliken,SP2,155,154.59635,0.40365,155.0826271,-0.082627054
